app,store,direction,category,item,purpose,optional
Wildberries,googleplay,collected,Personal info,Other info,"Fraud prevention, security, and compliance",False
Wildberries,googleplay,collected,App activity,Other user-generated content,App functionality,True
Wildberries,googleplay,collected,Financial info,Purchase history,App functionality,False
Wildberries,googleplay,shared,Device or other IDs,Device or other Ids,"App functionality, Analytics, Fraud prevention, security, and compliance, Account management",False
Wildberries,googleplay,shared,App info and performance,Crash logs,Analytics,False
Wildberries,googleplay,shared,App info and performance,Diagnostics,Analytics,False
Wildberries,googleplay,shared,App info and performance,Other app performance data,Analytics,False
Wildberries,googleplay,shared,Personal info,Name,"Fraud prevention, security, and compliance",False
Wildberries,googleplay,shared,Photos and videos,Photos,"App functionality, Account management",False
Wildberries,googleplay,shared,App activity,App interactions,Analytics,False
Wildberries,googleplay,shared,App activity,Other user-generated content,App functionality,False
Wildberries,googleplay,shared,App activity,Other actions,Analytics,False
Wildberries,googleplay,shared,Financial info,User payment info,"Fraud prevention, security, and compliance",False
Zalando,googleplay,collected,Device or other IDs,Device or other Ids,"App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",False
Zalando,googleplay,collected,Personal info,Name,"App functionality, Advertising or marketing, Personalization, Account management",False
Zalando,googleplay,collected,Personal info,Email address,"App functionality, Advertising or marketing, Account management",False
Zalando,googleplay,collected,Personal info,User Ids,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",False
Zalando,googleplay,collected,Personal info,Address,"Personalization, Account management",False
Zalando,googleplay,collected,Personal info,Phone number,Account management,True
Zalando,googleplay,collected,Personal info,Other info,Account management,True
Zalando,googleplay,collected,Financial info,User payment info,Account management,False
Zalando,googleplay,collected,Financial info,Purchase history,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",True
Zalando,googleplay,collected,Financial info,Credit score,Account management,False
Zalando,googleplay,collected,App activity,App interactions,"Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Zalando,googleplay,collected,App activity,In-app search history,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Zalando,googleplay,collected,App activity,Other actions,Personalization,True
Zalando,googleplay,collected,App info and performance,Crash logs and Diagnostics,,False
Zalando,googleplay,collected,App info and performance,Crash logs,Analytics,False
Zalando,googleplay,collected,App info and performance,Diagnostics,"Analytics, Fraud prevention, security, and compliance",False
Zalando,googleplay,shared,Device or other IDs,Device or other Ids,"App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",False
Zalando,googleplay,shared,Personal info,Name,"Personalization, Account management",False
Zalando,googleplay,shared,Personal info,Email address,"Advertising or marketing, Account management",False
Zalando,googleplay,shared,Personal info,User Ids,"Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",False
Zalando,googleplay,shared,Personal info,Address,Account management,False
Zalando,googleplay,shared,Personal info,Phone number,Account management,False
Zalando,googleplay,shared,Personal info,Other info,Account management,False
Zalando,googleplay,shared,Financial info,User payment info and Purchase history,,False
Zalando,googleplay,shared,Financial info,User payment info,Account management,False
Zalando,googleplay,shared,Financial info,Purchase history,"Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Account management",False
Zalando,googleplay,shared,App activity,App interactions and In-app search history,,False
Zalando,googleplay,shared,App activity,App interactions,"Analytics, Advertising or marketing, Personalization, Account management",False
Zalando,googleplay,shared,App activity,In-app search history,"Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",False
Zalando,googleplay,shared,App info and performance,Crash logs and Diagnostics,,False
Zalando,googleplay,shared,App info and performance,Crash logs,Analytics,False
Zalando,googleplay,shared,App info and performance,Diagnostics,"Analytics, Fraud prevention, security, and compliance",False
Yandex Market,googleplay,collected,Messages,Other in-app messages,App functionality,True
Yandex Market,googleplay,collected,Personal info,Name,"App functionality, Fraud prevention, security, and compliance, Account management",True
Yandex Market,googleplay,collected,Personal info,Email address,"App functionality, Developer communications, Advertising or marketing, Account management",True
Yandex Market,googleplay,collected,Personal info,User Ids,"App functionality, Analytics, Fraud prevention, security, and compliance, Personalization, Account management",False
Yandex Market,googleplay,collected,Personal info,Address,"App functionality, Fraud prevention, security, and compliance, Personalization",True
Yandex Market,googleplay,collected,Personal info,Phone number,"App functionality, Fraud prevention, security, and compliance, Account management",True
Yandex Market,googleplay,collected,Personal info,Other info,Account management,True
Yandex Market,googleplay,collected,Device or other IDs,Device or other IDs,"Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management",True
Yandex Market,googleplay,collected,Web browsing,Web browsing history,App functionality,True
Yandex Market,googleplay,collected,Location,Approximate location and Precise location,,False
Yandex Market,googleplay,collected,Location,Approximate location,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Yandex Market,googleplay,collected,Location,Precise location,"App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
Yandex Market,googleplay,collected,App activity,App interactions,Analytics,False
Yandex Market,googleplay,collected,App activity,In-app search history,App functionality,True
Yandex Market,googleplay,collected,App activity,Other user-generated content,App functionality,True
Yandex Market,googleplay,collected,App activity,Other actions,Analytics,True
Yandex Market,googleplay,collected,Photos and videos,Photos,"App functionality, Developer communications",True
Yandex Market,googleplay,collected,Photos and videos,Videos,App functionality,True
Yandex Market,googleplay,collected,App info and performance,Crash logs,Analytics,False
Yandex Market,googleplay,collected,App info and performance,Diagnostics,Analytics,False
Yandex Market,googleplay,collected,App info and performance,Other app performance data,Analytics,False
Yandex Market,googleplay,collected,Files and docs,Files and docs,App functionality,True
Yandex Market,googleplay,collected,Financial info,User payment info and Purchase history,,False
Yandex Market,googleplay,collected,Financial info,User payment info,"App functionality, Fraud prevention, security, and compliance",True
Yandex Market,googleplay,collected,Financial info,Purchase history,"App functionality, Analytics",True
Yandex Market,googleplay,shared,Messages,Other in-app messages,App functionality,False
Yandex Market,googleplay,shared,Personal info,Name,"Fraud prevention, security, and compliance",False
Yandex Market,googleplay,shared,Personal info,Address,"Fraud prevention, security, and compliance",False
Yandex Market,googleplay,shared,Personal info,Phone number,"Fraud prevention, security, and compliance",False
Yandex Market,googleplay,shared,Photos and videos,Photos,App functionality,False
Yandex Market,googleplay,shared,Photos and videos,Videos,App functionality,False
Yandex Market,googleplay,shared,Files and docs,App functionality,,False
bol,googleplay,collected,App activity,App interactions,"App functionality, Analytics, Advertising or marketing, Personalization",True
bol,googleplay,collected,App activity,In-app search history,"App functionality, Analytics, Advertising or marketing, Personalization",False
bol,googleplay,collected,App activity,Other user-generated content,"App functionality, Analytics",True
bol,googleplay,collected,App activity,Other actions,"Analytics, Advertising or marketing, Personalization",True
bol,googleplay,collected,App info and performance,Crash logs and Diagnostics,,False
bol,googleplay,collected,App info and performance,Crash logs,Analytics,False
bol,googleplay,collected,App info and performance,Diagnostics,Analytics,False
bol,googleplay,collected,Messages,Other in-app messages,"App functionality, Analytics, Advertising or marketing",True
bol,googleplay,collected,Financial info,User payment info and Purchase history,,False
bol,googleplay,collected,Financial info,User payment info,"App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization",True
bol,googleplay,collected,Financial info,Purchase history,"App functionality, Analytics, Fraud prevention, security, and compliance, Personalization, Account management",True
bol,googleplay,collected,Web browsing,Web browsing history,"Analytics, Advertising or marketing, Personalization",False
